stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
TMNZ5,227901,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.32-4.35x2.66,GIA,5393525991,2000,-27.40%,$435.60,WH,M0,,,BT1,BC0,EC0,,Y,58.00,61.30,33.00,41.60,Cloud  Crystal  Feather,N,2021-07-17,,Arrived,,,NO BGM
SMNZ5,227900,HK,G,round,0.30,F,VS1,VG,VG,VG,N,4.13-4.17x2.70,GIA,2396490583,2300,-40.00%,$414.00,WH,M0,,,BT0,BC0,EC0,VG,Y,56.00,65.20,38.50,40.20,Feather,N,2021-08-25,,Arrived,,,NO BGM  no black
RMNZ5,227899,HK,G,round,0.30,H,VS1,EX,EX,EX,N,4.30-4.33x2.69,GIA,1408374991,2100,-27.70%,$455.49,WH,M0,,,BT0,BC0,EC0,,Y,58.00,62.40,36.00,41.20,Cloud  Feather  Needle,N,2021-09-14,,Arrived,,,NO BGM  no black
QMNZ5,227898,HK,G,round,0.30,H,VS1,EX,EX,EX,N,4.28-4.31x2.64,GIA,6223029218,2100,-27.60%,$456.12,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.60,34.00,41.80,Feather  Indented Natural  Pinpoint,N,2021-09-27,,Arrived,,,NO BGM  no black
PMNZ5,227897,HK,G,round,0.30,E,VS1,EX,EX,EX,N,4.26-4.28x2.67,GIA,6405470065,2400,-33.10%,$481.68,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.50,35.50,41.00,Crystal  Indented Natural  Cloud  Pinpoint,N,2021-09-18,,Arrived,,,NO BGM  no black
OMNZ5,227896,HK,G,round,0.30,E,VS1,EX,EX,EX,N,4.32-4.35x2.62,GIA,2396711492,2400,-33.50%,$478.80,WH,M0,,,BT0,BC0,EC0,,Y,60.00,60.50,33.50,41.40,Crystal  Cloud  Pinpoint  Indented Natural,N,2021-09-03,,Arrived,,,NO BGM  no black
NMNZ5,227895,HK,G,round,0.30,E,VS1,VG,EX,VG,N,4.21-4.24x2.65,GIA,1395507780,2400,-43.70%,$405.36,WH,M0,,,BT1,BC0,EC0,,Y,58.00,62.70,35.50,40.40,Crystal  Needle  Pinpoint  Cloud,N,2021-07-17,,Arrived,,,NO BGM
MMNZ5,227894,HK,G,round,0.30,E,VS1,EX,EX,EX,N,4.28-4.31x2.63,GIA,2396749805,2400,-34.30%,$473.04,WH,M0,,,BT1,BC0,EC0,,Y,60.00,61.20,35.50,41.00,Crystal  Cloud  Pinpoint,N,2021-09-03,,Arrived,,,NO BGM
KMNZ5,227892,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.30-4.32x2.65,GIA,2406581972,2000,-26.60%,$440.40,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.40,33.50,41.60,Cavity  Crystal,N,2021-09-29,,Arrived,,,NO BGM  no black
JMNZ5,227891,HK,G,round,0.30,F,VS1,EX,EX,EX,N,4.30-4.33x2.61,GIA,1409485567,2300,-31.40%,$473.34,WH,M0,,,BT0,BC0,EC0,,Y,61.00,60.50,35.50,40.80,Cloud  Pinpoint,N,2021-09-21,,Arrived,,,NO BGM  no black
