Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K33049,RBC,0.30,D,I1,EX,EX,EX,MED,,4.28 - 4.29 * 2.67,Gia,5406101344,,1500.00,1140.00,-24.00,342.00,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,43.50,41.20,GIA 5406101344,Feather,NO,N,YES,,,,
K33054,RBC,0.32,G,IF,EX,EX,EX,No,,4.40 - 4.42 * 2.72,Gia,7401131913,,2700.00,1755.00,-35.00,561.60,,,,61.70,58.00,MED,MED,3.50,F,,NON,15.00,35.50,43.00,40.80,GIA 7401131913,Minor Details of Polish,NO,N,YES,,,,
K33056,RBC,0.35,I,VVS2,EX,EX,EX,No,,4.48 - 4.50 * 2.82,Gia,6402132076,,2100.00,1596.00,-24.00,558.60,,,,62.80,55.00,STK,STK,4.00,F,,NON,16.00,35.50,42.50,40.60,GIA 6402132076,Feather,NO,N,YES,,,,
K33058,RBC,0.34,E,VVS2,EX,EX,EX,STG,,4.43 - 4.45 * 2.78,Gia,6405132073,,2600.00,1404.00,-46.00,477.36,,,,62.70,55.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.60,GIA 6405132073,Cloud  Needle  Indented Natural,NO,N,YES,,,,
K33059,RBC,0.36,J,VS2,EX,EX,EX,MED,,4.53 - 4.56 * 2.81,Gia,6405102013,,1600.00,1152.00,-28.00,414.72,,,,61.70,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,40.60,GIA 6405102013,Crystal  Feather,NO,N,YES,,,,
K33060,RBC,0.30,J,VS1,EX,EX,EX,MED,,4.26 - 4.28 * 2.68,Gia,1405132068,,1700.00,1241.00,-27.00,372.30,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 1405132068,Crystal  Cloud  Pinpoint,NO,N,YES,,,,
K33061,RBC,0.30,I,SI1,EX,EX,EX,No,,4.23 - 4.27 * 2.68,Gia,1409102004,,1600.00,1232.00,-23.00,369.60,,,,63.10,57.00,STK,STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 1409102004,Crystal  Feather  Cloud,NO,N,YES,,,,
K33065,RBC,0.35,E,VVS1,EX,EX,EX,VST,,4.44 - 4.48 * 2.81,Gia,6402103921,,2800.00,1932.00,-31.00,676.20,,,,63.00,56.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.80,GIA 6402103921,Feather,NO,N,YES,,,,
K33070,RBC,0.30,J,VVS1,VG,EX,EX,No,,4.17 - 4.18 * 2.69,Gia,1409131916,,1900.00,1330.00,-30.00,399.00,,,,64.40,56.00,THK,THK,5.00,F,,NON,17.50,38.50,42.00,40.20,GIA 1409131916,Pinpoint  Manufacturing Remnant,NO,N,YES,,,,
K33073,RBC,0.30,D,VS2,EX,VG,VG,No,,4.23 - 4.29 * 2.65,Gia,6405369682,,2400.00,1416.00,-41.00,424.80,,,,62.10,58.00,MED to STK,MED to STK,4.00,F,,NON,15.50,36.00,43.00,40.60,GIA 6405369682,Crystal  Indented Natural,NO,N,YES,,,,
