stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10235452,HK,G,round,0.50,F,VS1,VG,VG,VG,F,4.92x4.99x3.2,GIA,6382620153,4200,-47.20%,$1108.80,WH,M0,,,,,EC0,,Y,57.00,64.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235448,HK,G,round,0.50,F,VS1,VG,EX,VG,F,4.9x4.97x3.19,GIA,2396016697,4200,-47.20%,$1108.80,WH,M0,,,,,EC0,,Y,57.00,64.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235447,HK,G,round,0.50,F,VS1,VG,EX,VG,F,4.91x4.97x3.21,GIA,7392798856,4200,-47.20%,$1108.80,WH,M0,,,,,EC0,,Y,56.00,64.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235435,HK,G,round,0.50,E,SI2,EX,EX,EX,N,5.1x5.13x3.09,GIA,7398836461,2800,-32.00%,$952.00,WH,M0,,,,,EC0,,Y,62.00,60.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235399,HK,G,round,0.40,H,VVS1,EX,EX,EX,N,4.7x4.73x2.95,GIA,7398480652,2700,-31.80%,$736.56,WH,M0,,,,,EC0,,Y,55.00,62.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235374,HK,G,round,0.40,F,SI2,VG,EX,EX,N,4.65x4.69x2.95,GIA,1397935846,2000,-40.70%,$474.40,WH,M0,,,,,EC0,,Y,59.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235339,HK,G,round,0.40,D,SI2,VG,VG,VG,N,4.58x4.64x2.97,GIA,6392780011,2200,-43.10%,$500.72,WH,M0,,,,,EC0,,Y,56.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235338,HK,G,round,0.40,D,SI2,VG,EX,EX,N,4.61x4.64x2.94,GIA,2386320982,2200,-43.10%,$500.72,WH,M0,,,,,EC0,,Y,59.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235330,HK,G,round,0.33,H,SI1,EX,EX,EX,N,4.4x4.41x2.74,GIA,7406168953,1800,-34.10%,$391.45,WH,M0,,,,,EC0,,Y,56.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235322,HK,G,round,0.32,G,VS2,EX,EX,EX,N,4.37x4.4x2.72,GIA,2384508787,2100,-36.30%,$428.06,WH,M0,,,,,EC0,,Y,58.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235315,HK,G,round,0.31,H,SI2,VG,VG,VG,N,4.2x4.23x2.72,GIA,1409267993,1500,-37.80%,$289.23,WH,M0,,,,,EC0,,Y,58.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235313,HK,G,round,0.31,H,SI1,EX,EX,EX,N,4.34x4.36x2.74,GIA,5393940386,1800,-30.00%,$390.60,WH,M0,,,,,EC0,,Y,57.00,63.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235312,HK,G,round,0.31,H,SI1,EX,EX,EX,N,4.32x4.35x2.69,GIA,1408127889,1800,-30.00%,$390.60,WH,M0,,,,,EC0,,Y,59.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235283,HK,G,round,0.31,F,VS1,EX,EX,EX,N,4.38x4.39x2.63,GIA,2407055947,2300,-36.10%,$455.61,WH,M0,,,,,EC0,,Y,61.00,59.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235260,HK,G,round,0.30,J,VS1,VG,VG,VG,N,4.23x4.28x2.66,GIA,6402260881,1700,-37.60%,$318.24,WH,M0,,,,,EC0,,Y,61.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235259,HK,G,round,0.30,J,VS1,VG,EX,VG,N,4.19x4.25x2.68,GIA,2406123753,1700,-37.90%,$316.71,WH,M0,,,,,EC0,,Y,56.00,63.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235246,HK,G,round,0.30,I,SI1,EX,EX,EX,N,4.29x4.32x2.6,GIA,6405163106,1600,-32.20%,$325.44,WH,M0,,,,,EC0,,Y,61.00,60.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235237,HK,G,round,0.30,H,SI2,VG,EX,VG,N,4.2x4.23x2.66,GIA,1409197570,1500,-36.40%,$286.20,WH,M0,,,,,EC0,,Y,58.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235222,HK,G,round,0.30,H,SI1,VG,EX,VG,N,4.25x4.28x2.69,GIA,1409532767,1800,-33.60%,$358.56,WH,M0,,,,,EC0,,Y,57.00,63.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235221,HK,G,round,0.30,H,SI1,VG,EX,EX,F,4.16x4.19x2.68,GIA,6401332785,1800,-38.90%,$329.94,WH,M0,,,,,EC0,,Y,58.00,64.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235219,HK,G,round,0.30,H,SI1,EX,EX,EX,N,4.29x4.31x2.64,GIA,6402764000,1800,-28.60%,$385.56,WH,M0,,,,,EC0,,Y,58.00,61.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235218,HK,G,round,0.30,H,SI1,EX,EX,EX,N,4.27x4.3x2.67,GIA,2396778541,1800,-28.80%,$384.48,WH,M0,,,,,EC0,,Y,59.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235214,HK,G,round,0.30,H,SI1,EX,EX,EX,N,4.23x4.27x2.67,GIA,6401763768,1800,-28.80%,$384.48,WH,M0,,,,,EC0,,Y,58.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235208,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.26x4.29x2.67,GIA,6402123878,2000,-29.20%,$424.80,WH,M0,,,,,EC0,,Y,56.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235207,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.23x4.26x2.69,GIA,5393269006,2000,-29.20%,$424.80,WH,M0,,,,,EC0,,Y,56.00,63.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235204,HK,G,round,0.30,H,VS2,EX,EX,EX,N,4.3x4.33x2.63,GIA,2406863629,2000,-29.20%,$424.80,WH,M0,,,,,EC0,,Y,61.00,60.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
